ಹೊಮ್ಮರ,ೊಮ್ಮರ
ಹೋಗುವಾಗ,ೋಗುವಾಗ
ಹೊಗೆದೆರಿಗೆ,ೊಗೆದೆರಿಗೆ
ಹೊಲೆಯರ,ೊಲೆಯರ
ಹೇವ,ೇವ
ಹಲ್ಲುಕಿರಿ,ಲ್ಲುಕಿರಿ
ಹಿರಣ್ಯಕಶಿಪುವಿನ,ಿರಣ್ಯಕಶಿಪುವಿನ
ಹುಳಿ,ುಳಿ
ಹೀನಸ್ತಿತಿಗೆ,ೀನಸ್ತಿತಿಗೆ
ಹರದರು,ರದರು
ಹತಬಲ,ತಬಲ
ಹೆಣಹೊದಿಕೆಗಳು,ೆಣಹೊದಿಕೆಗಳು
ಹೊಂಟಿ,ೊಂಟಿ
ಹಿಸಿದುಕೊಳ್ಳು,ಿಸಿದುಕೊಳ್ಳು
ಹೆಗ್ಗತ್ತಲೆಗಳು,ೆಗ್ಗತ್ತಲೆಗಳು
ಹರದುಗಳು,ರದುಗಳು
ಹನ್ದದಿರುವಿಕೆಗಳು,ನ್ದದಿರುವಿಕೆಗಳು
ಹೆರಿಗೆ,ೆರಿಗೆ
ಹಙ್ಕಲು,ಙ್ಕಲು
ಹಾಗಲ್ಲದೇ,ಾಗಲ್ಲದೇ
ಹೂವುಕೋಸುಗಳು,ೂವುಕೋಸುಗಳು
ಹರಿಕ,ರಿಕ
ಹರಟೆಕೋರತನಗಳು,ರಟೆಕೋರತನಗಳು
ಹೋತಕರಿ,ೋತಕರಿ
ಹೆಣದಿನಿಹಿ,ೆಣದಿನಿಹಿ
ಹೆಗೆಸೊಪ್ಪಿನ,ೆಗೆಸೊಪ್ಪಿನ
ಹುಳಿದೇಗು,ುಳಿದೇಗು
ಹಂಬಲಿಕೆಗಳು,ಂಬಲಿಕೆಗಳು
ಹಕ್ಕುದಾರರು,ಕ್ಕುದಾರರು
ಹೆಸರಾಂತ,ೆಸರಾಂತ
ಹಳುಕುಮಞ್ಜುಗಳು,ಳುಕುಮಞ್ಜುಗಳು
ಹೆಗ್ಗಾಳೆ,ೆಗ್ಗಾಳೆ
ಹಾಲಿನಹೊಳೆ,ಾಲಿನಹೊಳೆ
ಹಲುಕಡಿ,ಲುಕಡಿ
ಹಿಮ್ಮೊಗಗಳು,ಿಮ್ಮೊಗಗಳು
ಹೆಚ್ಚುಪಾಲು,ೆಚ್ಚುಪಾಲು
ಹತ್ತೊಂಬತ್ತುಗಳು,ತ್ತೊಂಬತ್ತುಗಳು
ಹೇಳಬೇಕಾದರೆ,ೇಳಬೇಕಾದರೆ
ಹೊರತಂದ,ೊರತಂದ
ಹುಲಿಯುಗುರ್ಗಳು,ುಲಿಯುಗುರ್ಗಳು
ಹೆಚ್ಚಾಗಿವೆ,ೆಚ್ಚಾಗಿವೆ
ಹಂದಲುಗಳು,ಂದಲುಗಳು
ಹೊತ್ತುಕೊಳ್ಳು,ೊತ್ತುಕೊಳ್ಳು
ಹೆಮ್ಮೆಗೆಡಿಸು,ೆಮ್ಮೆಗೆಡಿಸು
ಹಿನ್ದಳ,ಿನ್ದಳ
ಹಿಡಿಸಿ,ಿಡಿಸಿ
ಹೀನನ್ಧತಮಸುಗಳು,ೀನನ್ಧತಮಸುಗಳು
ಹದಿಮೂರನೆಯದು,ದಿಮೂರನೆಯದು
ಹೇಳಿಬರೆಸು,ೇಳಿಬರೆಸು
ಹರೆಯ,ರೆಯ
ಹೊರೆಕಾರ,ೊರೆಕಾರ
ಹಿರಣ್ಯಾಕ್ಷರು,ಿರಣ್ಯಾಕ್ಷರು
ಹಾತ್‌ಬೇಡಿಗಳು,ಾತ್‌ಬೇಡಿಗಳು
ಹೃದಯದೇಶ,ೃದಯದೇಶ
ಹುಲ್ಲಾಳ್,ುಲ್ಲಾಳ್
ಹರಿದಾಡುವ,ರಿದಾಡುವ
ಹೊಗಳಿಕೊಳ್ಳುವ,ೊಗಳಿಕೊಳ್ಳುವ
ಹೊಡೆಗೆಡೆ,ೊಡೆಗೆಡೆ
ಹೆಗಲಪಟ್ಟಿಗಳು,ೆಗಲಪಟ್ಟಿಗಳು
ಹೊಗೆಗಣ್ಣು,ೊಗೆಗಣ್ಣು
ಹೊದಕುಳು,ೊದಕುಳು
ಹೋಗುತ್ತಿರುವ,ೋಗುತ್ತಿರುವ
ಹೂಗಳಿನ್ದ,ೂಗಳಿನ್ದ
ಹರಿಯಾಣಗಳು,ರಿಯಾಣಗಳು
ಹೊಂಗಿ,ೊಂಗಿ
ಹೀರದುದು,ೀರದುದು
ಹಿನ್ತಿರುಗುವುದು,ಿನ್ತಿರುಗುವುದು
ಹಿಂಬಾಗಗಳು,ಿಂಬಾಗಗಳು
ಹಿಡಿಕೆ,ಿಡಿಕೆ
ಹುಟ್ಟಿನ,ುಟ್ಟಿನ
ಹೆಡಸಿ,ೆಡಸಿ
ಹೆಕ್ಕಿ,ೆಕ್ಕಿ
ಹಾಸುಗೆ,ಾಸುಗೆ
ಹುರಿಗೂಡಿಸು,,ುರಿಗೂಡಿಸು,
ಹೊಲಬಿ,ೊಲಬಿ
ಹಾಲುಹಿಂಡು,ಾಲುಹಿಂಡು
ಹಾಡ್ಯ,ಾಡ್ಯ
ಹರೆಗಾರ,ರೆಗಾರ
ಹಮ್ಬೆಗಳು,ಮ್ಬೆಗಳು
ಹೆಸರುಬೇಳೆಗಳು,ೆಸರುಬೇಳೆಗಳು
ಹುರದುಂಬು,ುರದುಂಬು
ಹೂವುಕಟ್ಟುಗಳು,ೂವುಕಟ್ಟುಗಳು
ಹರಳುಪ್ಪು,ರಳುಪ್ಪು
ಹಮ್ಬಲದ,ಮ್ಬಲದ
ಹಾಲುಪೊಙ್ಗಲುಗಳು,ಾಲುಪೊಙ್ಗಲುಗಳು
ಹೊಲೆರುಧಿರ,ೊಲೆರುಧಿರ
ಹಾಲುಕೊರಟಿಗೆಗಳು,ಾಲುಕೊರಟಿಗೆಗಳು
ಹೆಚ್ಚುವಿಕೆ,ೆಚ್ಚುವಿಕೆ
ಹೊಳೆಯುವುದು,ೊಳೆಯುವುದು
ಹೆಂಡಿರ,ೆಂಡಿರ
ಹಠಮಾರಿಗಳು,ಠಮಾರಿಗಳು
ಹಕ್ಕಲ್ಲು,ಕ್ಕಲ್ಲು
ಹಾಸುಗಾಯಿ,ಾಸುಗಾಯಿ
ಹುಳಿತೇಗು,ುಳಿತೇಗು
ಹರುವು,ರುವು
ಹೇಳಿದ್ದು,ೇಳಿದ್ದು
ಹುತಾಗ್ನಿ,ುತಾಗ್ನಿ
ಹರಡಿಬಿದ್ದ,ರಡಿಬಿದ್ದ
ಹಿತಾರ್ತಗಳು,ಿತಾರ್ತಗಳು
ಹಾದಿಕಟ್ಟು,ಾದಿಕಟ್ಟು
ಹುಡಾಯ್ತ್ಯಾ,ುಡಾಯ್ತ್ಯಾ
ಹಾಸಿಗೆಹಿಡಿಸುವ,ಾಸಿಗೆಹಿಡಿಸುವ
ಹಾಯ್ಸು,ಾಯ್ಸು
ಹದುಳದಿಂದ,ದುಳದಿಂದ
ಹೊಗರ್ಗಳು,ೊಗರ್ಗಳು
ಹಚ್ಚುಗೆ,ಚ್ಚುಗೆ
ಹೀನತನ,ೀನತನ
ಹಿಡಿಕಿಸು,ಿಡಿಕಿಸು
ಹೊಸಿಲು,ೊಸಿಲು
ಹೋಗಬೇಕಾದ,ೋಗಬೇಕಾದ
ಹೊಂದಿರುತ್ತವೆ.,ೊಂದಿರುತ್ತವೆ.
ಹಿಣ್ಡಿಲುಗಳು,ಿಣ್ಡಿಲುಗಳು
ಹೊರಜೆ,ೊರಜೆ
ಹೊಂದಾಣಿಕೆವಳಕ,ೊಂದಾಣಿಕೆವಳಕ
ಹಸಿದಿರುವಂತೆ,ಸಿದಿರುವಂತೆ
ಹಾಜರಾಗದಿರು,ಾಜರಾಗದಿರು
ಹಣೆ,,ಣೆ,
ಹರಿತಾಳ,ರಿತಾಳ
ಹೆರೋಯಿನ್,ೆರೋಯಿನ್
ಹುಳಿಕುಡಿ,ುಳಿಕುಡಿ
ಹೊಙ್ಗಿಸು,ೊಙ್ಗಿಸು
ಹೂಳುನೆಲ,ೂಳುನೆಲ
ಹಿಂಡೇ,ಿಂಡೇ
ಹದಿಮೂರು,ದಿಮೂರು
ಹಾಸುವಲೆ,ಾಸುವಲೆ
ಹಿನ್ದಿಡುವಿಕೆ,ಿನ್ದಿಡುವಿಕೆ
ಹಲ್,ಲ್
ಹೊಡೆಯಲು,ೊಡೆಯಲು
ಹೆಂಗಸರನ್ನು,ೆಂಗಸರನ್ನು
ಹರಡು.,ರಡು.
ಹಿಡಿದಿರುವವನು,ಿಡಿದಿರುವವನು
ಹಾಳಂಬಡು,ಾಳಂಬಡು
ಹಂಗಾಮಗಳು,ಂಗಾಮಗಳು
ಹಿಡಿದಂತೆ,ಿಡಿದಂತೆ
ಹಿಡಿದುಕೊಳ್ಳಿ,ಿಡಿದುಕೊಳ್ಳಿ
ಹಿಂದಿರುಗಿದ್ದಾರೆ,ಿಂದಿರುಗಿದ್ದಾರೆ
ಹೊರಪಡಿಸುಗ,ೊರಪಡಿಸುಗ
ಹರಳೆಣ್ಣೆಗಳು,ರಳೆಣ್ಣೆಗಳು
ಹೀನಸ್ತಿತಿ,ೀನಸ್ತಿತಿ
ಹೆಡಗಯ್ಗಳು,ೆಡಗಯ್ಗಳು
ಹುರುಡಿಗರು,ುರುಡಿಗರು
ಹೇರೊಸಗೆ,ೇರೊಸಗೆ
ಹೆಟ್ಟೆಕೊಡ್ತಿ,ೆಟ್ಟೆಕೊಡ್ತಿ
ಹೇಳುವರು.,ೇಳುವರು.
ಹಿಂದುಮುಂದು,ಿಂದುಮುಂದು
ಹಕ್ಕುಬಿಡು,ಕ್ಕುಬಿಡು
ಹೀರುನಳಿಕೆ,ೀರುನಳಿಕೆ
ಹೊಯಿತಗಳು,ೊಯಿತಗಳು
ಹೊರಾಂಗಣ,ೊರಾಂಗಣ
ಹರಿಬಲ,ರಿಬಲ
ಹಾಡುಗಬ್ಬಗಳು,ಾಡುಗಬ್ಬಗಳು
ಹೊರೆಗಳು,ೊರೆಗಳು
ಹಿಂದೆಯೆ,ಿಂದೆಯೆ
ಹಟದಿಂದಹೇಳು,ಟದಿಂದಹೇಳು
ಹಸುರ್ಬಯಲು,ಸುರ್ಬಯಲು
ಹಸಿತಲೆ,ಸಿತಲೆ
ಹಯಗಳು,ಯಗಳು
ಹೊನ್ದಿಕೆಯ,ೊನ್ದಿಕೆಯ
ಹಿನ್ದುವರಿ,ಿನ್ದುವರಿ
ಹೊರಟವಳಿಗೆ,ೊರಟವಳಿಗೆ
ಹೊಟ್ಟೆಬಾಕತನದಿನ್ದ,ೊಟ್ಟೆಬಾಕತನದಿನ್ದ
ಹಾರೈಸು,ಾರೈಸು
ಹೀನಸ್ವಭಾವಗಳು,ೀನಸ್ವಭಾವಗಳು
ಹುಣಸೆಕಾಯಿ,ುಣಸೆಕಾಯಿ
ಹೇಳದ,ೇಳದ
ಹೀಗಿದೆ,,ೀಗಿದೆ,
ಹೊಳಪೇ,ೊಳಪೇ
ಹೊನ್ನೆ,ೊನ್ನೆ
ಹೋಳಾ,ೋಳಾ
ಹೆಗ್ಗದೆ,ೆಗ್ಗದೆ
ಹಕ್ಕಿಲ್ಲದೆ,ಕ್ಕಿಲ್ಲದೆ
ಹಿಮ್ಬಳಿಗಳು,ಿಮ್ಬಳಿಗಳು
ಹೆಮ್ಪು,ೆಮ್ಪು
ಹಳ್ಳಿಯಲ್ಲಿನ,ಳ್ಳಿಯಲ್ಲಿನ
ಹಸಿವಿನಿಂದ,ಸಿವಿನಿಂದ
ಹುಟ್ಟಾಣಿಕೆ,ುಟ್ಟಾಣಿಕೆ
ಹಸ್ತಿವಾಹನರು,ಸ್ತಿವಾಹನರು
ಹೇಸಿಯ,ೇಸಿಯ
ಹಾಳುಗೆಡವುವ,ಾಳುಗೆಡವುವ
ಹರೆಯದವರಲ್ಲಿ,ರೆಯದವರಲ್ಲಿ
ಹಿಪ್ಪಲಿನೇರಳೆಗಳು,ಿಪ್ಪಲಿನೇರಳೆಗಳು
ಹುಸಿಗಾಣ್ಕೆ,ುಸಿಗಾಣ್ಕೆ
ಹತ್ತಬೇಡ,ತ್ತಬೇಡ
ಹೊನ್ನಾಯ,ೊನ್ನಾಯ
ಹೆಣ್ಣುತನ,ೆಣ್ಣುತನ
ಹಂಚಿಸು,ಂಚಿಸು
ಹಿಂದಕ್ಕೊರಗಿಕೊಂಡು,ಿಂದಕ್ಕೊರಗಿಕೊಂಡು
ಹದನ,ದನ
ಹೊದಕೆಗಳು,ೊದಕೆಗಳು
ಹರಿವಾಯ್,ರಿವಾಯ್
ಹಿಂಬಾರದ,ಿಂಬಾರದ
ಹೋಗಿದ್ದೆ,ೋಗಿದ್ದೆ
ಹಿಂದಣಿಂದ,ಿಂದಣಿಂದ
ಹನಿಗವಿತೆಗಳು,ನಿಗವಿತೆಗಳು
ಹೊಗೆಕೊಡು,ೊಗೆಕೊಡು
ಹೊಸನೀರುಗಳು,ೊಸನೀರುಗಳು
ಹೃದ್ಯಗಳು,ೃದ್ಯಗಳು
ಹಿಮವಂತನ,ಿಮವಂತನ
ಹರಿವಿನ,ರಿವಿನ
ಹರಿತವಾಗಿರುವಿಕೆ,ರಿತವಾಗಿರುವಿಕೆ
ಹೊರಪು,ೊರಪು
ಹರಡಿಕೊಂಡಿರುವ,ರಡಿಕೊಂಡಿರುವ
ಹುದುಗಿಸಿದ,ುದುಗಿಸಿದ
ಹೇಳುತ್ತಾ,ೇಳುತ್ತಾ
ಹತ್ತಿಕೊಳ್ಳು,ತ್ತಿಕೊಳ್ಳು
ಹಾಟಕನಯನರು,ಾಟಕನಯನರು
ಹೇರಾಳ,ೇರಾಳ
ಹಲವುವೇಳೆಗಳು,ಲವುವೇಳೆಗಳು
ಹೊರಗಡಿಗಳು,ೊರಗಡಿಗಳು
ಹೇವರಿಕೆಗಳು,ೇವರಿಕೆಗಳು
ಹಾಳುಮಾಡು,ಾಳುಮಾಡು
ಹೊರುವ,,ೊರುವ,
ಹೊಗೆಗುಡಿಗಳು,ೊಗೆಗುಡಿಗಳು
ಹಾಳೆಯಲ್ಲಿಟ್ಟು,ಾಳೆಯಲ್ಲಿಟ್ಟು
ಹಲ್ಗಚ್ಚು,ಲ್ಗಚ್ಚು
ಹಾರು,ಾರು
ಹುಬ್ಬುಗಂಟು,ುಬ್ಬುಗಂಟು
ಹುಟ್ಟುವಿಕೆ,ುಟ್ಟುವಿಕೆ
ಹೆಗ್ಡೆಗಳು,ೆಗ್ಡೆಗಳು
ಹೊನ್ನಿನ್ನ,ೊನ್ನಿನ್ನ
ಹುಲ್ಲೀಚಲ,ುಲ್ಲೀಚಲ
ಹೂಳ್,ೂಳ್
ಹಿಂದುತ್ವಗಳು,ಿಂದುತ್ವಗಳು
ಹುಗಲುಗಳು,ುಗಲುಗಳು
ಹೆರೆಯಲಗು,ೆರೆಯಲಗು
ಹಂದೆತನ,ಂದೆತನ
ಹಿಡಿತರಿಸು,ಿಡಿತರಿಸು
ಹೆರೆಗಾಣು,ೆರೆಗಾಣು
ಹೊಸಪರಿ,ೊಸಪರಿ
ಹೀನಂದತಮಸುಗಳು,ೀನಂದತಮಸುಗಳು
ಹರಿಯದೇನು?,ರಿಯದೇನು?
ಹಕ್ಕೊತ್ತಾಯ,ಕ್ಕೊತ್ತಾಯ
ಹಯ್ದರು,ಯ್ದರು
ಹೊಲಸುಗಳು,ೊಲಸುಗಳು
ಹೆಮ್ಮಗು,ೆಮ್ಮಗು
ಹೊರವಡು,ೊರವಡು
ಹಡದಿಗಳು,ಡದಿಗಳು
ಹೂತುಹೋದ,ೂತುಹೋದ
ಹೊಸಹುಟ್ಟುಗಳು,ೊಸಹುಟ್ಟುಗಳು
ಹಂದಿದಾಟು,ಂದಿದಾಟು
ಹಂಚಿಕೆಗಾರರುಗಳು,ಂಚಿಕೆಗಾರರುಗಳು
ಹೆಂಡಿಹೊತ್ಲಿ,ೆಂಡಿಹೊತ್ಲಿ
ಹಕ್ಲುಗದ್ದೆ,ಕ್ಲುಗದ್ದೆ
ಹೃದಯಶೂನ್ಯಗಳು,ೃದಯಶೂನ್ಯಗಳು
ಹಿಂಡಿಕೆಗಳು,ಿಂಡಿಕೆಗಳು
ಹುರಿಗುನ್ದು,ುರಿಗುನ್ದು
ಹಾಸಿಗೆಯ,ಾಸಿಗೆಯ
ಹನ್ದಿಮರಿಗಳು,ನ್ದಿಮರಿಗಳು
ಹಕ್ಕಿ,ಕ್ಕಿ
ಹರಸಾಹಸ,ರಸಾಹಸ
ಹುಗ್ಗುಗಳು,ುಗ್ಗುಗಳು
ಹಿಂಸಾಪ್ರವೃತ್ತಿಗಳು,ಿಂಸಾಪ್ರವೃತ್ತಿಗಳು
ಹೆಚ್ಚುಗಾರಿಕೆಗಳು,ೆಚ್ಚುಗಾರಿಕೆಗಳು
ಹೆಂಟೆಗಳು,ೆಂಟೆಗಳು
ಹೆಚ್ಚುಕ,ೆಚ್ಚುಕ
ಹೆಣ್ಗಿಳಿಗಳು,ೆಣ್ಗಿಳಿಗಳು
ಹಱುಕ,ಱುಕ
ಹದಿವಯಸ್ಸಿನ,ದಿವಯಸ್ಸಿನ
ಹೊನ್ನಾರುಗಳು,ೊನ್ನಾರುಗಳು
ಹೊಯಿಗೆಗಳು,ೊಯಿಗೆಗಳು
ಹುಯಲುಗಳು,ುಯಲುಗಳು
ಹಾಗ,ಾಗ
ಹುರಿ,,ುರಿ,
ಹೆಸರಾಂ,ೆಸರಾಂ
ಹಠವಾದಿಗಳು,ಠವಾದಿಗಳು
ಹತ್ತಿಕಾಯಿ,ತ್ತಿಕಾಯಿ
ಹೆಣ್ಡತಿಗಳು,ೆಣ್ಡತಿಗಳು
ಹೆಣ್ಣುಗೂಸು,ೆಣ್ಣುಗೂಸು
ಹೂದೋಟದ,ೂದೋಟದ
ಹಿಂದಿನಕಾಲ,ಿಂದಿನಕಾಲ
ಹದವಾಗು,ದವಾಗು
ಹಾರಮು,ಾರಮು
ಹಂಜಿಗಳು,ಂಜಿಗಳು
ಹೊಲಗದ್ದೆಗಳಲ್ಲಿ,ೊಲಗದ್ದೆಗಳಲ್ಲಿ
ಹೀಲಿದಳೆಗಳು,ೀಲಿದಳೆಗಳು
ಹೃದಯಾಂತರಾಳದಿಂದ,ೃದಯಾಂತರಾಳದಿಂದ
ಹಸನಾದ,ಸನಾದ
ಹಕ್ಕುದಾರಿಕೆ,ಕ್ಕುದಾರಿಕೆ
ಹೊಂದದವನು,,ೊಂದದವನು,
ಹೆಗ್ಗಳಗಳು,ೆಗ್ಗಳಗಳು
ಹಾಸ್ಯಪ್ರವೃತ್ತಿಗಳು,ಾಸ್ಯಪ್ರವೃತ್ತಿಗಳು
ಹುಚ್ಚುಬೇವು,ುಚ್ಚುಬೇವು
ಹೇಮಂತಋತು,ೇಮಂತಋತು
ಹೆಪ್ಪುದೊಳೆ,ೆಪ್ಪುದೊಳೆ
ಹೊರಬಾಗದಲ್ಲಿರುವ,ೊರಬಾಗದಲ್ಲಿರುವ
ಹೊರೆಯನ್ನು,ೊರೆಯನ್ನು
ಹತ್ತಮನ್ದಿ,ತ್ತಮನ್ದಿ
ಹಸಿರುಗಟ್ಟು,ಸಿರುಗಟ್ಟು
ಹದ್ದುಗೆಡು,ದ್ದುಗೆಡು
ಹೊಲದಬೆಳೆ,ೊಲದಬೆಳೆ
ಹಿಂದುಗಳೆ,ಿಂದುಗಳೆ
ಹದಗಿಸಿ,ದಗಿಸಿ
ಹಡಗುಕಟ್ಟುವ,ಡಗುಕಟ್ಟುವ
ಹುರುಳಿಲ್ಲದವನು,ುರುಳಿಲ್ಲದವನು
ಹೋಗ್ಬೇಕು,,ೋಗ್ಬೇಕು,
ಹರತಾಳಗಳು,ರತಾಳಗಳು
ಹಂಜರ,ಂಜರ
ಹೆಚ್ಚಾದಾಗ,ೆಚ್ಚಾದಾಗ
ಹಚ್ಚಿಕೊಳ್ಳದ,ಚ್ಚಿಕೊಳ್ಳದ
ಹೊಪ್ಪಳೆ,ೊಪ್ಪಳೆ
ಹಿದುಕ,ಿದುಕ
ಹಾಲಿಸಬು,ಾಲಿಸಬು
ಹಞ್ಚುಗರುಗಳು,ಞ್ಚುಗರುಗಳು
ಹೊಗಳತಕ್ಕ,ೊಗಳತಕ್ಕ
ಹಿಂಬರೆಹಗಳು,ಿಂಬರೆಹಗಳು
ಹೊಂದಿಕೊಳ್ಳುವುದಿಲ್ಲ,ೊಂದಿಕೊಳ್ಳುವುದಿಲ್ಲ
ಹೊನಗೊನೆಗಳು,ೊನಗೊನೆಗಳು
ಹೀಬ್ರೂ,ೀಬ್ರೂ
ಹಳಂಚು,ಳಂಚು
ಹೊಸ್ತಿಲುಗಳು,ೊಸ್ತಿಲುಗಳು
ಹಸುರುಬಣ್ಣದ,ಸುರುಬಣ್ಣದ
ಹಣಿತೆ,ಣಿತೆ
ಹಿಂದಿನ‌.,ಿಂದಿನ‌.
ಹಾವುಗೆ,ಾವುಗೆ
ಹಾರಿಬರು,ಾರಿಬರು
ಹರಳನ್ನು,ರಳನ್ನು
ಹೆಮ್ಮಡದಿ,ೆಮ್ಮಡದಿ
ಹೊಗಬಹುದಾದ,ೊಗಬಹುದಾದ
ಹೊರಹೊನಲು,ೊರಹೊನಲು
ಹಿಂಡುಗಳು,ಿಂಡುಗಳು
ಹೊಂಬಣ್ಣಗಳು,ೊಂಬಣ್ಣಗಳು
ಹರಿಪೀಠ,ರಿಪೀಠ
ಹಿಮಗಡಿತ,ಿಮಗಡಿತ
ಹಞ್ಚಿಹುಲ್ಲುಗಳು,ಞ್ಚಿಹುಲ್ಲುಗಳು
ಹಸ್ತಮಧ್ಯಗಳು,ಸ್ತಮಧ್ಯಗಳು
ಹೋಗಿದ್ದೀರಲ್ಲಾ,ೋಗಿದ್ದೀರಲ್ಲಾ
ಹಂಸಮೂರುತಿ,ಂಸಮೂರುತಿ
