ಪಂದೊಗಲ್,ಹಂದೊಗಲ್
ಪಾಡುಗ,ಹಾಡುಗ
ಪಿಟ್ಟು,ಹಿಟ್ಟು
ಪೋರಾಳ್,ಹೋರಾಳ್
ಪಲ್ಲಿಲಿಬಾಯಿ,ಹಲ್ಲಿಲಿಬಾಯಿ
ಪೊಲಿಗೆ,ಹೊಲಿಗೆ
ಪಿಂಡುಗೊಳ್,ಹಿಂಡುಗೊಳ್
ಪೊಂಗದಿರು,ಹೊಂಗದಿರು
ಪರುಕು,ಹರುಕು
ಪಚ್ಚ,ಹಚ್ಚ
ಪರಿಗೆಡು,ಹರಿಗೆಡು
ಪಣಿಗೆ,ಹಣಿಗೆ
ಪಣ್ಣಡಕೆ,ಹಣ್ಣಡಕೆ
ಪಿಂಬಾಲಿಸು,ಹಿಂಬಾಲಿಸು
ಪೋಕ,ಹೋಕ
ಪಣತೆ,ಹಣತೆ
ಪರಿಸು,ಹರಿಸು
ಪಲವೆಡೆ,ಹಲವೆಡೆ
ಪಸಲೆ,ಹಸಲೆ
ಪೆಂಗಸು,ಹೆಂಗಸು
ಪಾಯಿಸು,ಹಾಯಿಸು
ಪಿರಿತನ,ಹಿರಿತನ
ಪೊಟ್ಟಳಿಸು,ಹೊಟ್ಟಳಿಸು
ಪಂದಿವೇಂಟೆ,ಹಂದಿವೇಂಟೆ
ಪೊರಗೋಟೆ,ಹೊರಗೋಟೆ
ಪಾಸಿಗೆ,ಹಾಸಿಗೆ
ಪಂಗು,ಹಂಗು
ಪೂಗು,ಹೂಗು
ಪೊರೆಯಾಳು,ಹೊರೆಯಾಳು
ಪೂಗಿಡ,ಹೂಗಿಡ
ಪಲರು,ಹಲರು
ಪಿಂದುಗೊಳ್,ಹಿಂದುಗೊಳ್
ಪುಚ್ಚು,ಹುಚ್ಚು
ಪನ್ನಸು,ಹನ್ನಸು
ಪುಡಿಗೈ,ಹುಡಿಗೈ
ಪೂಡು,ಹೂಡು
ಪೇಸೇಳ್,ಹೇಸೇಳ್
ಪೂಟಿ,ಹೂಟಿ
ಪೊಂಗೆಜ್ಜೆ,ಹೊಂಗೆಜ್ಜೆ
ಪರಗಣೆ,ಹರಗಣೆ
ಪದಿನೇಳ್,ಹದಿನೇಳ್
ಪೊಂಚು,ಹೊಂಚು
ಪುಡುಗ,ಹುಡುಗ
ಪಿಡಿಗುದುರೆ,ಹಿಡಿಗುದುರೆ
ಪೆಸರುಗೊಳ್,ಹೆಸರುಗೊಳ್
ಪೆಣ್,ಹೆಣ್
ಪೊಗರೇರ್,ಹೊಗರೇರ್
ಪೊರ್ಕುಳಿ,ಹೊರ್ಕುಳಿ
ಪಿಡಿಯಾನೆ,ಹಿಡಿಯಾನೆ
ಪೊರಳ್ಚು,ಹೊರಳ್ಚು
ಪೊಲತಿ,ಹೊಲತಿ
ಪುಲುಸು,ಹುಲುಸು
ಪೇರಿಟ್ಟಿ,ಹೇರಿಟ್ಟಿ
ಪಿಮ್ಮೆಟ್ಟು,ಹಿಮ್ಮೆಟ್ಟು
ಪಳು,ಹಳು
ಪಾರಯಿಸು,ಹಾರಯಿಸು
ಪೊಕ್ಕುಳು,ಹೊಕ್ಕುಳು
ಪೊದಿಕೆ,ಹೊದಿಕೆ
ಪುದಿ,ಹುದಿ
ಪೊಸನ್ತಿಲು,ಹೊಸನ್ತಿಲು
ಪುಟ್ಟಗೆ,ಹುಟ್ಟಗೆ
ಪಾೞು,ಹಾೞು
ಪಲ್ಲಣ,ಹಲ್ಲಣ
ಪಸುಮಗು,ಹಸುಮಗು
ಪುರುಕು,ಹುರುಕು
ಪೊರೆಯೇರು,ಹೊರೆಯೇರು
ಪಂದರಿಕ್ಕು,ಹಂದರಿಕ್ಕು
ಪುಯ್ಯಲ್,ಹುಯ್ಯಲ್
ಪುಡಿಗುಟ್ಟು,ಹುಡಿಗುಟ್ಟು
ಪಿರಿಯಣ್ಣ,ಹಿರಿಯಣ್ಣ
ಪಾಯ್ದ,ಹಾಯ್ದ
ಪಾಡುಗಾಯಿ,ಹಾಡುಗಾಯಿ
ಪರಿಕಣಿ,ಹರಿಕಣಿ
ಪಲವುಮಾತು,ಹಲವುಮಾತು
ಪಿಳ್ಳು,ಹಿಳ್ಳು
ಪಲ್ಗಿರಿ,ಹಲ್ಗಿರಿ
ಪೊರಪಾಳೆಯ,ಹೊರಪಾಳೆಯ
ಪಜ್ಜ,ಹಜ್ಜ
ಪೊನ್ನುಯ್ಯಲ್,ಹೊನ್ನುಯ್ಯಲ್
ಪುಣ್ಣುವೆ,ಹುಣ್ಣುವೆ
ಪರಕಲಿಸು,ಹರಕಲಿಸು
ಪೆಸರುವಡೆ,ಹೆಸರುವಡೆ
ಪಸಿವು,ಹಸಿವು
ಪಳಂಚು,ಹಳಂಚು
ಪೊಸಸುಣ್ಣ,ಹೊಸಸುಣ್ಣ
ಪೊರೆಕಾರ,ಹೊರೆಕಾರ
ಪುಣ್ಣವೆ,ಹುಣ್ಣವೆ
ಪೆಱೆದಲೆಯ,ಹೆಱೆದಲೆಯ
ಪಿಂದುಗಳೆ,ಹಿಂದುಗಳೆ
ಪೊದೆಸು,ಹೊದೆಸು
ಪಾವಸೆ,ಹಾವಸೆ
ಪಿಂಡುಮಾತು,ಹಿಂಡುಮಾತು
ಪಿಂಬಳಿ,ಹಿಂಬಳಿ
ಪೇರೊಡಲ್,ಹೇರೊಡಲ್
ಪರುಗೋಲು,ಹರುಗೋಲು
ಪೊಂಬಿಸಿಲು,ಹೊಂಬಿಸಿಲು
ಪದಿನಾರು,ಹದಿನಾರು
ಪೊಂಗೊಡ,ಹೊಂಗೊಡ
ಪೊರೆಬಿಡು,ಹೊರೆಬಿಡು
ಪೆಂಜಱ,ಹೆಂಜಱ
ಪುಗ್ಗಿ,ಹುಗ್ಗಿ
ಪಳ್ಳ,ಹಳ್ಳ
ಪಬ್ಬ,ಹಬ್ಬ
ಪೊದೆ,ಹೊದೆ
ಪುರುಳು,ಹುರುಳು
ಪೊರಿಗೆ,ಹೊರಿಗೆ
ಪೊಂದುಗೆ,ಹೊಂದುಗೆ
ಪಾಲ್ಗಡಲು,ಹಾಲ್ಗಡಲು
ಪೇರಡವಿ,ಹೇರಡವಿ
ಪಿತ್ತಲ್,ಹಿತ್ತಲ್
ಪೊರಮಡು,ಹೊರಮಡು
ಪೊತ್ತರೆ,ಹೊತ್ತರೆ
ಪೊಂದು,ಹೊಂದು
ಪೊಟ್ಟಿ,ಹೊಟ್ಟಿ
ಪೊಲಗೆಡು,ಹೊಲಗೆಡು
ಪರಸು,ಹರಸು
ಪಱುಣೆ,ಹಱುಣೆ
ಪೊಂಗೊಡೆ,ಹೊಂಗೊಡೆ
ಪಳುವ,ಹಳುವ
ಪೊಣಕೆ,ಹೊಣಕೆ
ಪೊಸಕು,ಹೊಸಕು
ಪೊಣಿಕೆ,ಹೊಣಿಕೆ
ಪರುಗೋಲ್,ಹರುಗೋಲ್
ಪೆರೆ,ಹೆರೆ
ಪೀರ್,ಹೀರ್
ಪುದುವು,ಹುದುವು
ಪುಚ್ಚ,ಹುಚ್ಚ
ಪದವಳೆ,ಹದವಳೆ
ಪೊಣೆಕಾರ,ಹೊಣೆಕಾರ
ಪಡಗು,ಹಡಗು
ಪಚ್ಚಡಿಸು,ಹಚ್ಚಡಿಸು
ಪಿಂಬಗಲು,ಹಿಂಬಗಲು
ಪಿಮ್ಮುಖ,ಹಿಮ್ಮುಖ
ಪೊಯ್ಲು,ಹೊಯ್ಲು
ಪೆಟ್ಟ,ಹೆಟ್ಟ
ಪುದುಮನೆ,ಹುದುಮನೆ
ಪೊಱಕಾಲ್,ಹೊಱಕಾಲ್
ಪೆರ್ಜುಂಕ,ಹೆರ್ಜುಂಕ
ಪೊರತು,ಹೊರತು
ಪೂಸು,ಹೂಸು
ಪೊಣ್ಮು,ಹೊಣ್ಮು
ಪ,ಹ
ಪೇರೊಡಲು,ಹೇರೊಡಲು
ಪೊಲಬಿಗ,ಹೊಲಬಿಗ
ಪೂಮಿಡಿ,ಹೂಮಿಡಿ
ಪೊಗರು,ಹೊಗರು
ಪಾಸುಗೆ,ಹಾಸುಗೆ
ಪುಲಿ,ಹುಲಿ
ಪತ್ತುಗೆ,ಹತ್ತುಗೆ
ಪಳ್ಳಿ,ಹಳ್ಳಿ
ಪಾಯಿದು,ಹಾಯಿದು
ಪಿಸುಣು,ಹಿಸುಣು
ಪೊಂದೇರು,ಹೊಂದೇರು
ಪಸರಿಗ,ಹಸರಿಗ
ಪಲುಂಬು,ಹಲುಂಬು
ಪಾನೆ,ಹಾನೆ
ಪಾಸು,ಹಾಸು
ಪರಡು,ಹರಡು
ಪೇರು,ಹೇರು
ಪಿಂತಿರುಗು,ಹಿಂತಿರುಗು
ಪೆಂಗುರು,ಹೆಂಗುರು
ಪಸನು,ಹಸನು
ಪೊಗರೇರು,ಹೊಗರೇರು
ಪಸನ,ಹಸನ
ಪಳಚು,ಹಳಚು
ಪೊಯ್ವಡೆ,ಹೊಯ್ವಡೆ
ಪುರಿಗೊಳ್,ಹುರಿಗೊಳ್
ಪೊಕ್ಕುಳಿ,ಹೊಕ್ಕುಳಿ
ಪಿರಿಯರಸಿ,ಹಿರಿಯರಸಿ
ಪೆಣ್ಣೊಡಲ್,ಹೆಣ್ಣೊಡಲ್
ಪೂದೋಂಟ,ಹೂದೋಂಟ
ಪೊಡೆ,ಹೊಡೆ
ಪೆರದೆಗೆ,ಹೆರದೆಗೆ
ಪೆಟ್ಟು,ಹೆಟ್ಟು
ಪೊಗರೆತ್ತು,ಹೊಗರೆತ್ತು
ಪಿಂದೆ,ಹಿಂದೆ
ಪಳ್ಳಿಕಾರ,ಹಳ್ಳಿಕಾರ
ಪಾಲ್ಮೊಸರು,ಹಾಲ್ಮೊಸರು
ಪಿಂಜು,ಹಿಂಜು
ಪೋಲಿಸು,ಹೋಲಿಸು
ಪೇಲ್,ಹೇಲ್
ಪೋಲ್ವೆ,ಹೋಲ್ವೆ
ಪೋರಟೆ,ಹೋರಟೆ
ಪುಗುಳು,ಹುಗುಳು
ಪೊಗರೊಗು,ಹೊಗರೊಗು
ಪೊಗೆ,ಹೊಗೆ
ಪೊರವಳಯ,ಹೊರವಳಯ
ಪಳಮೊರೆ,ಹಳಮೊರೆ
ಪಡಲಿಕೆ,ಹಡಲಿಕೆ
ಪೊಕ್ಕುಳ್,ಹೊಕ್ಕುಳ್
ಪೊಂಬಣ್ಣ,ಹೊಂಬಣ್ಣ
ಪಸಿವೆ,ಹಸಿವೆ
ಪೊಂಬಾೞೆ,ಹೊಂಬಾೞೆ
ಪೊಂಬುಚ್ಚ,ಹೊಂಬುಚ್ಚ
ಪಿಂದು,ಹಿಂದು
ಪೊಗಿಸು,ಹೊಗಿಸು
ಪಸರಿಸು,ಹಸರಿಸು
ಪಳಿ,ಹಳಿ
ಪೊಱಸು,ಹೊಱಸು
ಪೊಸಮನೆ,ಹೊಸಮನೆ
ಪೊಗರಲಗು,ಹೊಗರಲಗು
ಪಿಂದೆಗೆ,ಹಿಂದೆಗೆ
ಪಸಗೆಡು,ಹಸಗೆಡು
ಪೀರು,ಹೀರು
ಪೋಗಾಡು,ಹೋಗಾಡು
ಪಳೆಯೆಲೆ,ಹಳೆಯೆಲೆ
ಪುತ್ತು,ಹುತ್ತು
ಪೂಡಿಸು,ಹೂಡಿಸು
ಪೊಂದಾವರೆ,ಹೊಂದಾವರೆ
ಪೇಳು,ಹೇಳು
ಪಾಳುಬೀಳು,ಹಾಳುಬೀಳು
ಪೊರಂಡು,ಹೊರಂಡು
ಪೊಗಳ್,ಹೊಗಳ್
ಪುದು,ಹುದು
ಪಾಡಗ,ಹಾಡಗ
ಪೆರ್ಗೆರೆ,ಹೆರ್ಗೆರೆ
ಪೊತ್ತುಗಳೆ,ಹೊತ್ತುಗಳೆ
ಪಿಂಡು,ಹಿಂಡು
ಪೊಲ್ಲ,ಹೊಲ್ಲ
ಪೊಳಚು,ಹೊಳಚು
ಪೊರಗು,ಹೊರಗು
ಪಡಿಯರ,ಹಡಿಯರ
ಪದ್ದು,ಹದ್ದು
ಪೇರಾಲ,ಹೇರಾಲ
ಪೂವೃಷ್ಟಿ,ಹೂವೃಷ್ಟಿ
ಪಱುಗೋಲ್,ಹಱುಗೋಲ್
ಪೊಗರಂಬು,ಹೊಗರಂಬು
ಪೋಳಿಸು,ಹೋಳಿಸು
ಪೆಸರು,ಹೆಸರು
ಪೂಳ್,ಹೂಳ್
ಪರಡೆ,ಹರಡೆ
ಪುಡಿಗೆಯ್,ಹುಡಿಗೆಯ್
ಪೊಂಬಾಳೆ,ಹೊಂಬಾಳೆ
ಪೂವಲಿ,ಹೂವಲಿ
ಪೆಜ್ಜುಂಕ,ಹೆಜ್ಜುಂಕ
ಪೊತ್ತಾರೆ,ಹೊತ್ತಾರೆ
ಪಾರಯ್ಸು,ಹಾರಯ್ಸು
ಪುಣುಸೆ,ಹುಣುಸೆ
ಪೆಬ್ಬಾವು,ಹೆಬ್ಬಾವು
ಪುರುಡಿಗ,ಹುರುಡಿಗ
ಪದಿನೆಂಟು,ಹದಿನೆಂಟು
ಪೇಕುಳಿ,ಹೇಕುಳಿ
ಪೊಂಗೆಲಸ,ಹೊಂಗೆಲಸ
ಪಡಿಯಱ,ಹಡಿಯಱ
ಪಳಗನ್ನಡ,ಹಳಗನ್ನಡ
ಪುಲು,ಹುಲು
ಪೆಣ್ಡತಿ,ಹೆಣ್ಡತಿ
ಪಾಱಾಟ,ಹಾಱಾಟ
ಪುಚ್ಚುಗೊಳ್,ಹುಚ್ಚುಗೊಳ್
ಪೆರ,ಹೆರ
ಪೊಲ್ಲಮೆ,ಹೊಲ್ಲಮೆ
ಪಳಬ,ಹಳಬ
ಪೊಂದೇರ್,ಹೊಂದೇರ್
ಪಡೆದ,ಹಡೆದ
ಪದುಳವಿರು,ಹದುಳವಿರು
ಪೊಱಡು,ಹೊಱಡು
ಪೊನ್ನಗಸೆ,ಹೊನ್ನಗಸೆ
ಪೊನ್,ಹೊನ್
ಪಂದರ್,ಹಂದರ್
ಪೋಲು,ಹೋಲು
ಪೊಗಳ್ತೆ,ಹೊಗಳ್ತೆ
ಪೇರಣಿಲ್,ಹೇರಣಿಲ್
ಪೂವಳೆ,ಹೂವಳೆ
ಪಳವೆ,ಹಳವೆ
ಪುಬ್ಬಾ,ಹುಬ್ಬಾ
ಪೊಂಬೆಟ್ಟ,ಹೊಂಬೆಟ್ಟ
ಪೊಂಬೊಗರಿ,ಹೊಂಬೊಗರಿ
ಪಂಚು,ಹಂಚು
ಪೊಸಬ,ಹೊಸಬ
ಪಗಲು,ಹಗಲು
ಪಸುಬ,ಹಸುಬ
ಪಸಿಗೆ,ಹಸಿಗೆ
ಪುಣ್ಣಿವೆ,ಹುಣ್ಣಿವೆ
ಪೊಡೆಚಂಡು,ಹೊಡೆಚಂಡು
ಪೊಂಗರಿ,ಹೊಂಗರಿ
ಪಸುಳ,ಹಸುಳ
ಪಸುರೆಲೆ,ಹಸುರೆಲೆ
ಪವಣು,ಹವಣು
ಪಲುಬು,ಹಲುಬು
ಪೊದಕುಳಿಗೊಳ್,ಹೊದಕುಳಿಗೊಳ್
ಪಲ್ಕಡಿ,ಹಲ್ಕಡಿ
ಪೊಡವಡಿಸು,ಹೊಡವಡಿಸು
ಪಿಡಿತೆ,ಹಿಡಿತೆ
ಪಿಂದುಳಿ,ಹಿಂದುಳಿ
ಪರಳು,ಹರಳು
ಪೊರಕೆಯ್,ಹೊರಕೆಯ್
ಪೆಂಟೆ,ಹೆಂಟೆ
ಪೆಗ್ಗಡೆ,ಹೆಗ್ಗಡೆ
ಪೊನ್ನು,ಹೊನ್ನು
ಪೊಸಬೆಣ್ಣೆ,ಹೊಸಬೆಣ್ಣೆ
ಪಿನ್ನೆ,ಹಿನ್ನೆ
ಪೊನಲಿಡು,ಹೊನಲಿಡು
ಪಿಮ್ಮಡಿ,ಹಿಮ್ಮಡಿ
ಪೇರಿಸು,ಹೇರಿಸು
ಪೆಳವಿ,ಹೆಳವಿ
ಪೆಸರಿಡು,ಹೆಸರಿಡು
ಪುಲಿದೊವಲು,ಹುಲಿದೊವಲು
ಪೊಳಪು,ಹೊಳಪು
ಪುಸಿನುಡಿ,ಹುಸಿನುಡಿ
ಪಸುಗೂಸು,ಹಸುಗೂಸು
ಪೂಣಿಕೆ,ಹೂಣಿಕೆ
ಪೊಲ್ಲದು,ಹೊಲ್ಲದು
ಪೇರರಿಕೆ,ಹೇರರಿಕೆ
ಪಾರುಗುಪ್ಪೆ,ಹಾರುಗುಪ್ಪೆ
ಪರಿಗೆ,ಹರಿಗೆ
ಪಡ್ಡಲಿಗೆ,ಹಡ್ಡಲಿಗೆ
ಪಗೆವು,ಹಗೆವು
ಪುಡಿಯೇಳು,ಹುಡಿಯೇಳು
ಪೆಗಲ್,ಹೆಗಲ್
ಪೊರೆ,ಹೊರೆ
ಪದಿ,ಹದಿ
ಪೋತ,ಹೋತ
ಪೇಡಿತನ,ಹೇಡಿತನ
ಪೊಲೆವೆಣ್,ಹೊಲೆವೆಣ್
ಪುರಿಯೇರು,ಹುರಿಯೇರು
ಪದಿನಾಲ್ಕು,ಹದಿನಾಲ್ಕು
ಪರಿಗೆಕಾಱ,ಹರಿಗೆಕಾಱ
ಪಿಡಿ,ಹಿಡಿ
ಪೊರಡು,ಹೊರಡು
ಪೊಗಳಿಕೆ,ಹೊಗಳಿಕೆ
ಪಳದು,ಹಳದು
ಪೊರಗಡೆ,ಹೊರಗಡೆ
ಪಾಳುಬಿದ್ದ,ಹಾಳುಬಿದ್ದ
ಪೊದ್ದಿಗೆ,ಹೊದ್ದಿಗೆ
ಪುಣ್ಣು,ಹುಣ್ಣು
ಪೆರ್,ಹೆರ್
ಪಸರಣ,ಹಸರಣ
ಪೊರವಲಯ,ಹೊರವಲಯ
ಪೊದ್ದು,ಹೊದ್ದು
ಪಳವು,ಹಳವು
ಪೂಮಳೆ,ಹೂಮಳೆ
ಪೆಣಗಾಟ,ಹೆಣಗಾಟ
ಪೂತಿ,ಹೂತಿ
ಪೊದಪು,ಹೊದಪು
ಪಾಳ್,ಹಾಳ್
ಪಾತೆ,ಹಾತೆ
ಪುಳು,ಹುಳು
ಪಿಂಚೂಣಿ,ಹಿಂಚೂಣಿ
ಪದಿನಯ್ದು,ಹದಿನಯ್ದು
ಪಾಳ್ಮನೆ,ಹಾಳ್ಮನೆ
ಪೊರಮಾರು,ಹೊರಮಾರು
ಪುಡಿ,ಹುಡಿ
ಪಸುಳೆತನ,ಹಸುಳೆತನ
ಪೊಸಂತಿಲ್,ಹೊಸಂತಿಲ್
ಪೊಯ್,ಹೊಯ್
ಪಡಹು,ಹಡಹು
ಪಡಲಗೆ,ಹಡಲಗೆ
ಪೊಂಗು,ಹೊಂಗು
ಪಸುಗೆಗೊಳ್,ಹಸುಗೆಗೊಳ್
ಪೂಗೊಂಚಲು,ಹೂಗೊಂಚಲು
ಪಡಿಯದೆ,ಹಡಿಯದೆ
ಪೋಳು,ಹೋಳು
ಪಡಿಮುಖ,ಹಡಿಮುಖ
ಪಿಡಿತ,ಹಿಡಿತ
ಪಚ್ಚನೆ,ಹಚ್ಚನೆ
ಪೊಯ್ಸು,ಹೊಯ್ಸು
ಪಚ್ಚೆ,ಹಚ್ಚೆ
ಪುಟ್ಟಿಗೆ,ಹುಟ್ಟಿಗೆ
ಪೆದೆ,ಹೆದೆ
ಪಿಂಗಡೆ,ಹಿಂಗಡೆ
ಪೆರ್ಗಡೆ,ಹೆರ್ಗಡೆ
ಪೀಲಿ,ಹೀಲಿ
ಪುಡಿಗೂಡಿಸು,ಹುಡಿಗೂಡಿಸು
ಪೆರೆಯುರ್ಚು,ಹೆರೆಯುರ್ಚು
ಪೆಡೆಮಣಿ,ಹೆಡೆಮಣಿ
ಪೊಮ್ಬೆಟ್ಟ,ಹೊಮ್ಬೆಟ್ಟ
ಪೆಸರಿಸು,ಹೆಸರಿಸು
ಪೂವಾಡಗಿತ್ತಿ,ಹೂವಾಡಗಿತ್ತಿ
ಪಲವಂಗ,ಹಲವಂಗ
ಪಂತ,ಹಂತ
ಪೊದರ್,ಹೊದರ್
ಪಾಲ್ಗುಡಿ,ಹಾಲ್ಗುಡಿ
ಪರವಸ,ಹರವಸ
ಪುಬ್ಬೆ,ಹುಬ್ಬೆ
ಪಗೆಗೊಳ್,ಹಗೆಗೊಳ್
ಪಣಿದ,ಹಣಿದ
ಪೊದಕೆ,ಹೊದಕೆ
