ಪಾಶವೀಕೃತ್ಯ,ಾಶವೀಕೃತ್ಯ
ಪ್ರೇತವಸ್ತ್ರಕ್ಕೆ,್ರೇತವಸ್ತ್ರಕ್ಕೆ
ಪೌರಸಂಸ್ಥೆ,ೌರಸಂಸ್ಥೆ
ಪಯ್ತೃಕ,ಯ್ತೃಕ
ಪಾಲಿಸಿಕೊಣ್ಡು,ಾಲಿಸಿಕೊಣ್ಡು
ಪೆರ್ವಲೆ,ೆರ್ವಲೆ
ಪಾಣ್ಡು,ಾಣ್ಡು
ಪ್ರಯಾಸ,್ರಯಾಸ
ಪೋಷಿಸುವಲ್ಲಿ,ೋಷಿಸುವಲ್ಲಿ
ಪ್ರವಹಿಸದೆ,್ರವಹಿಸದೆ
ಪೊಗರಮ್ಬು,ೊಗರಮ್ಬು
ಪಾಕೆಟ್,ಾಕೆಟ್
ಪ್ರಬಾವಯುತವಾದ,್ರಬಾವಯುತವಾದ
ಪರಿಯಂತ,ರಿಯಂತ
ಪ್ರವೇಶ,್ರವೇಶ
ಪೋಲ್ಮೆ,ೋಲ್ಮೆ
ಪಾಲಾಬ್ದಿಸಞ್ಜಾತೆ,ಾಲಾಬ್ದಿಸಞ್ಜಾತೆ
ಪಾನಪಾತ್ರ,ಾನಪಾತ್ರ
ಪನ್ದ್ಯಕಟ್ಟು,ನ್ದ್ಯಕಟ್ಟು
ಪುರಾವೆಗಳಿನ್ದ,ುರಾವೆಗಳಿನ್ದ
ಪಸುರೆಲೆ/ಪಚ್ಚೆಲೆ/ಹಸುರೆಲೆ,ಸುರೆಲೆ/ಪಚ್ಚೆಲೆ/ಹಸುರೆಲೆ
ಪುಷ್ಪಾವತಿ,ುಷ್ಪಾವತಿ
ಪಾಲಿಕೆ,ಾಲಿಕೆ
ಪಾಯಸ,ಾಯಸ
ಪ್ರಪುನಾಟ,್ರಪುನಾಟ
ಪರಿಶುದ್ದತೆ,ರಿಶುದ್ದತೆ
ಪಗಗುದಿಗಳು,ಗಗುದಿಗಳು
ಪ್ರತಿವಾದ,್ರತಿವಾದ
ಪರಮಾತ್ಮ,ರಮಾತ್ಮ
ಪ್ರವೃತ್ತಿಯಿಲ್ಲದಿರುವುದು,್ರವೃತ್ತಿಯಿಲ್ಲದಿರುವುದು
ಪನ್ನತಿಕೆಯ,ನ್ನತಿಕೆಯ
ಪಕ್ಕಸರಿಸು,ಕ್ಕಸರಿಸು
ಪ್ರಕಲ್ಪಿತ,್ರಕಲ್ಪಿತ
ಪಡಲು,ಡಲು
ಪೇದೆ,ೇದೆ
ಪೀಜು,ೀಜು
ಪೂಜ್ಯರಾದವರ,ೂಜ್ಯರಾದವರ
ಪೊಡೆತಗಳು,ೊಡೆತಗಳು
ಪಳಕ,ಳಕ
ಪ್ರೋತ್ಸಾಹಿಸು,್ರೋತ್ಸಾಹಿಸು
ಪುರುಳ್ಗೊಳ್,ುರುಳ್ಗೊಳ್
ಪಾಪಿ,ಾಪಿ
ಪ್ರಮದ,್ರಮದ
ಪರತ್ರೆ,ರತ್ರೆ
ಪುಣ್ಯಸ್ಥಳಗಳು,ುಣ್ಯಸ್ಥಳಗಳು
ಪೇರೂರ್,ೇರೂರ್
ಪೊನ್ದುಗೆ,ೊನ್ದುಗೆ
ಪುಚ್ಛಕ,ುಚ್ಛಕ
ಪ್ರಾರ್ಥಕ,್ರಾರ್ಥಕ
ಪ್ರತಿಪಲವಿಲ್ಲದೆ,್ರತಿಪಲವಿಲ್ಲದೆ
ಪಂಚಭುಜಗಳು,ಂಚಭುಜಗಳು
ಪೆನ್ದಕ್ಕು,ೆನ್ದಕ್ಕು
ಪರವರಶಿ,ರವರಶಿ
ಪಡಿನೆಳಲು,ಡಿನೆಳಲು
ಪ್ರೀತಿಯನ್ನು,್ರೀತಿಯನ್ನು
ಪರ್ಚಿಸು,ರ್ಚಿಸು
ಪರಿಪಕ್ವತೆ,ರಿಪಕ್ವತೆ
ಪೊಂದಾವರೆ,ೊಂದಾವರೆ
ಪರಾಗ,ರಾಗ
ಪೂರ್ವನಿಯಾಮಕ,ೂರ್ವನಿಯಾಮಕ
ಪಂತಗಾರ,ಂತಗಾರ
ಪಿಕ್ಕಲಕ್ಕಿ,ಿಕ್ಕಲಕ್ಕಿ
ಪಿನಾಕಿ,ಿನಾಕಿ
ಪಡಿದೊತ್ತುಗಳು,ಡಿದೊತ್ತುಗಳು
ಪೈಪು,ೈಪು
ಪೊಡಮಡು,ೊಡಮಡು
ಪೂರ್ಣವರ್ಷ,ೂರ್ಣವರ್ಷ
ಪುಡಿಗಾಸು,ುಡಿಗಾಸು
ಪೊರ‍್ಕುಳಿ,ೊರ‍್ಕುಳಿ
ಪಯ್ಪೋಟಿ,ಯ್ಪೋಟಿ
ಪೂರ್ಣಾವದಿ,ೂರ್ಣಾವದಿ
ಪಂಚಗುಂಡಿಗೆ,ಂಚಗುಂಡಿಗೆ
ಪಣಿಪಣಗಳು,ಣಿಪಣಗಳು
ಪಟ್ಟದ,ಟ್ಟದ
ಪೇನ್,ೇನ್
ಪ್ರಪಿತಾಮಹಿ,್ರಪಿತಾಮಹಿ
ಪೊಂಜಗುಲಿ,ೊಂಜಗುಲಿ
ಪಾಳಯ,ಾಳಯ
ಪಿರಂಗಿಗಳು,ಿರಂಗಿಗಳು
ಪಸೆಯಿಡು,ಸೆಯಿಡು
ಪುಣಿಸೆ,ುಣಿಸೆ
ಪಿತೃಹನ್ತಕ,ಿತೃಹನ್ತಕ
ಪದರಪದರವಾಗು,ದರಪದರವಾಗು
ಪಸುರ್ಮಣಿ,ಸುರ್ಮಣಿ
ಪ್ರಾದಿಕಾರಗಳು,್ರಾದಿಕಾರಗಳು
ಪ್ರಸಿದ್ದನಾಗು,್ರಸಿದ್ದನಾಗು
ಪರಾಜಯಗೊಳಿಸು,ರಾಜಯಗೊಳಿಸು
ಪ್ಯಾರಿಷ್‌ಗೆ,್ಯಾರಿಷ್‌ಗೆ
ಪುರೋಹಿತ,,ುರೋಹಿತ,
ಪರಿವರ್ಧನಿ,ರಿವರ್ಧನಿ
ಪ್ರತಿಬಂಧಗೊಳಿಸು,್ರತಿಬಂಧಗೊಳಿಸು
ಪುತನಿ,ುತನಿ
ಪುನರರಣ್ಯೀಕರಣ,ುನರರಣ್ಯೀಕರಣ
ಪ್ರಚಲಿತವಿರುವ,್ರಚಲಿತವಿರುವ
ಪುರುಹಕ್ಕಿ,ುರುಹಕ್ಕಿ
ಪೊರಡ,ೊರಡ
ಪೊರ್ಕುವಕ್ಕಿ,ೊರ್ಕುವಕ್ಕಿ
ಪಾಳಮ್ಬಡು,ಾಳಮ್ಬಡು
ಪಕ್ಷಾಂತರಗಳು,ಕ್ಷಾಂತರಗಳು
ಪಾಪಪ್ರಜ್ಞೆಯ,ಾಪಪ್ರಜ್ಞೆಯ
ಪದಬರಿಗೆ,ದಬರಿಗೆ
ಪಸಿಯಿಕೆ,ಸಿಯಿಕೆ
ಪಸಂದು,ಸಂದು
ಪ್ಲಥ್ವಿ,್ಲಥ್ವಿ
ಪೆರ್ಮಾತು,ೆರ್ಮಾತು
ಪ್ರಾಧಾನ್ಯ,್ರಾಧಾನ್ಯ
ಪಿಟ್ಟ,ಿಟ್ಟ
ಪೀಲಿ,ೀಲಿ
ಪಡುವನೆಗಳು,ಡುವನೆಗಳು
ಪಲಪ್ರದ,ಲಪ್ರದ
ಪೊನ್ನನ್ದಣ,ೊನ್ನನ್ದಣ
ಪದವಾಗಿತ್ತು,ದವಾಗಿತ್ತು
ಪೀಠಶ್ರೇಣಿ,ೀಠಶ್ರೇಣಿ
ಪೊಸಗೆಮ್ಪು,ೊಸಗೆಮ್ಪು
ಪರಂಬೋಕು,ರಂಬೋಕು
ಪೂರ್ವಜನ್ಮ,ೂರ್ವಜನ್ಮ
ಪ್ರದಕ್ಷಿಣ,್ರದಕ್ಷಿಣ
ಪುಷ್ಪಕರಣ್ಡಕ,ುಷ್ಪಕರಣ್ಡಕ
ಪ್ರಸಿದ್ಧಿಯಿಲ್ಲದಿರುವುದು,್ರಸಿದ್ಧಿಯಿಲ್ಲದಿರುವುದು
ಪೆರ್ವಿಸಿಲ್,ೆರ್ವಿಸಿಲ್
ಪುಲ್ವಗೆ,ುಲ್ವಗೆ
ಪ್ರದಾನಮಂತ್ರಿಗಳು,್ರದಾನಮಂತ್ರಿಗಳು
ಪಳಂಕು,ಳಂಕು
ಪಡಿಕಿ,ಡಿಕಿ
ಪರಿಗ್ರಹಣ,ರಿಗ್ರಹಣ
ಪ್ರಶಾಮ್ಯತೆ,್ರಶಾಮ್ಯತೆ
ಪಞ್ಚಪ್ರಾಣಗಳು,ಞ್ಚಪ್ರಾಣಗಳು
ಪ್ರಾಯೋಜಕತ್ವ,್ರಾಯೋಜಕತ್ವ
ಪರಿಸಂಖ್ಯೆ,ರಿಸಂಖ್ಯೆ
ಪದ್ಮಗಳು,ದ್ಮಗಳು
ಪೂರ್ತಿಯಾದ,ೂರ್ತಿಯಾದ
ಪತ್ರಸೂಚಿ,ತ್ರಸೂಚಿ
ಪಸುರ್ವೊನ್,ಸುರ್ವೊನ್
ಪಾಗಲ,ಾಗಲ
ಪಾಪಪ್ರಕೃತಿ,ಾಪಪ್ರಕೃತಿ
ಪಳಕಿಸು,ಳಕಿಸು
ಪರಿಕರಣ,ರಿಕರಣ
ಪತ್ತಿಗಳು,ತ್ತಿಗಳು
ಪೊಸವಣ್,ೊಸವಣ್
ಪೆಣ್ಣುಡೆ,ೆಣ್ಣುಡೆ
ಪತ್ತಳೆವೆರ್ಗ್ಗಡೆ,ತ್ತಳೆವೆರ್ಗ್ಗಡೆ
ಪರಿಭವ,ರಿಭವ
ಪಕ್ಷಾನ್ತರಗಾರ,ಕ್ಷಾನ್ತರಗಾರ
ಪೂರಕವಾಗಿವೆ.,ೂರಕವಾಗಿವೆ.
ಪ್ರವೇಶದನ,್ರವೇಶದನ
ಪಂಚಪತ್ರದ,ಂಚಪತ್ರದ
ಪಾಠಗಳನ್ನು,ಾಠಗಳನ್ನು
ಪಾತಿವ್ರತ್ಯವುಳ್ಳ,ಾತಿವ್ರತ್ಯವುಳ್ಳ
ಪ್ರತಿಬಾವನ್ತ,್ರತಿಬಾವನ್ತ
ಪತ್ರಿಕೆ,,ತ್ರಿಕೆ,
ಪೂರ್ವಾಹ್ಣ,ೂರ್ವಾಹ್ಣ
ಪೊಂಬಟ್ಟೆ,ೊಂಬಟ್ಟೆ
ಪ್ರತಿಬಿಮ್ಬಿಸುವನ್ತಹುದು,್ರತಿಬಿಮ್ಬಿಸುವನ್ತಹುದು
ಪಾಲುಮಡ್ಡಿ,ಾಲುಮಡ್ಡಿ
ಪಂಚಸುದೆಗಳು,ಂಚಸುದೆಗಳು
ಪೊಲಂತಿ,ೊಲಂತಿ
ಪೊಸನೂಲ್,ೊಸನೂಲ್
ಪುನಶ್ಚಯ್ತನ್ಯಶಕ್ತಿ,ುನಶ್ಚಯ್ತನ್ಯಶಕ್ತಿ
ಪನ್ನಗಾದಿಪ,ನ್ನಗಾದಿಪ
ಪಾರಿಪ್ಲವ,ಾರಿಪ್ಲವ
ಪ್ರತಿಸ್ಪರ್ದಿಯಾದ,್ರತಿಸ್ಪರ್ದಿಯಾದ
ಪತ್ತೆ,ತ್ತೆ
ಪತನವಾದಿಂದ್ರಿಯ,ತನವಾದಿಂದ್ರಿಯ
ಪೈರಣ,ೈರಣ
ಪಾಲ್ಮೊಸರು,ಾಲ್ಮೊಸರು
ಪಙ್ಕಜಾಮ್ಬಕ,ಙ್ಕಜಾಮ್ಬಕ
ಪ್ರಸ್ತುತತೆ,್ರಸ್ತುತತೆ
ಪರಮಶಾನ್ತಿಗಳು,ರಮಶಾನ್ತಿಗಳು
ಪರಿಮಳವುಳ್ಳ,ರಿಮಳವುಳ್ಳ
ಪ್ರಿಯನಾದವನು,್ರಿಯನಾದವನು
ಪನಾಳಿ,ನಾಳಿ
ಪಂಚಚಾರ,ಂಚಚಾರ
ಪೂರ್ವಾಭಿನಯ,ೂರ್ವಾಭಿನಯ
ಪಾಲುಗ,ಾಲುಗ
ಪೆಟ್ಟುಬೀಳದ,ೆಟ್ಟುಬೀಳದ
ಪ್ರಲೋಬನೆಗೊಳಿಸು,್ರಲೋಬನೆಗೊಳಿಸು
ಪರಿಚಯವಿಲ್ಲದ,ರಿಚಯವಿಲ್ಲದ
ಪರಮಾಧಿಕಾರವುಳ್ಳ,ರಮಾಧಿಕಾರವುಳ್ಳ
ಪ್ರಸಾರಮಾಡು,್ರಸಾರಮಾಡು
ಪೊಂಬೆಸ,ೊಂಬೆಸ
ಪಾರ್ಶ್ವಚ್ಚಾಯಿ,ಾರ್ಶ್ವಚ್ಚಾಯಿ
ಪಾಠಕ,ಾಠಕ
ಪರಮತಕ್ಕೆ,ರಮತಕ್ಕೆ
ಪಸುಂಬುಲ್,ಸುಂಬುಲ್
ಪೊಂಗೆಲಸ,ೊಂಗೆಲಸ
ಪರಿಶೀಲನೆಗಳು,ರಿಶೀಲನೆಗಳು
ಪ್ರತಿಚ್ಛಾಯಿಸುವಿಕೆ,್ರತಿಚ್ಛಾಯಿಸುವಿಕೆ
ಪಂಕಜನೇತ್ರೆ,ಂಕಜನೇತ್ರೆ
ಪುಷ್ಪಕಂ,ುಷ್ಪಕಂ
ಪೂರ್ಣಲಾಭ,ೂರ್ಣಲಾಭ
ಪರಿಣಾಮಕಾರಿತ್ವ,ರಿಣಾಮಕಾರಿತ್ವ
ಪದಾರ್ತಗಳಿಂದ,ದಾರ್ತಗಳಿಂದ
ಪ್ರಾಕಾರಗಳು,್ರಾಕಾರಗಳು
ಪಾಠ,ಾಠ
ಪ್ರದೇಶಗಳು,,್ರದೇಶಗಳು,
ಪ್ರದರ್ಶನಕ್ಕೆ,್ರದರ್ಶನಕ್ಕೆ
ಪೈಶುನ್ಯ,ೈಶುನ್ಯ
ಪಣೀಂದ್ರ,ಣೀಂದ್ರ
ಪಾಯಿಜಾಮ,ಾಯಿಜಾಮ
ಪ್ರಜೋತ್ಪತ್ತಿ,್ರಜೋತ್ಪತ್ತಿ
ಪ್ರತಿಯಾದುದು,,್ರತಿಯಾದುದು,
ಪಕ್ಷಕ್ಕೂ,ಕ್ಷಕ್ಕೂ
ಪಾತ್ರನಾಗು,ಾತ್ರನಾಗು
ಪ್ರತಿಸ್ಪಂದಿಸು,್ರತಿಸ್ಪಂದಿಸು
ಪಿಣ್ಡಕ,ಿಣ್ಡಕ
ಪ್ರಶ್ನಿಸು,್ರಶ್ನಿಸು
ಪೂಯ,ೂಯ
ಪಕ್ಕಕ್ಕೆ,ಕ್ಕಕ್ಕೆ
ಪ್ರಿನ್ಸಿಪಾಲ,್ರಿನ್ಸಿಪಾಲ
ಪತ್ರಗಳ,ತ್ರಗಳ
ಪರ್ಣಕುಟೀರ,ರ್ಣಕುಟೀರ
ಪಿಳವು,ಿಳವು
ಪೇಲು,ೇಲು
ಪಕ್ಕೆಮನೆಗಳು,ಕ್ಕೆಮನೆಗಳು
ಪುಟ್ಟ,ುಟ್ಟ
ಪಳೆಯುಳಿಕೆ,ಳೆಯುಳಿಕೆ
ಪಲವಾಗು,ಲವಾಗು
ಪ್ರವೇಶದಿಂದ,್ರವೇಶದಿಂದ
ಪೊರೆಸಾರ್,ೊರೆಸಾರ್
ಪೆಣ್ಬಡೆ,ೆಣ್ಬಡೆ
ಪುಗಿಲೊಪ್ಪಿತ,ುಗಿಲೊಪ್ಪಿತ
ಪೆರದೆಗೆ,ೆರದೆಗೆ
ಪೂರ್ವಸನ್ನಾಹ,ೂರ್ವಸನ್ನಾಹ
ಪಾಕಗಳು,ಾಕಗಳು
ಪೊಗೆಗೊಳ್,ೊಗೆಗೊಳ್
ಪ್ರೊಟೋಕಲ್,್ರೊಟೋಕಲ್
ಪೇರೊಕ್ಕಲ್ಗಳು,ೇರೊಕ್ಕಲ್ಗಳು
ಪಞ್ಚಬಕ್ಷ್ಯಗಳು,ಞ್ಚಬಕ್ಷ್ಯಗಳು
ಪೇರಿಸಿಟ್ಟದ್ದು,ೇರಿಸಿಟ್ಟದ್ದು
ಪೊಳ್ನುಡಿಗಳು,ೊಳ್ನುಡಿಗಳು
ಪುಸ್ತಕದ/ಕಡತದ,ುಸ್ತಕದ/ಕಡತದ
ಪರಿಷ್ಕರಣ,ರಿಷ್ಕರಣ
ಪೊಗೆವಣ್ಡಿ,ೊಗೆವಣ್ಡಿ
ಪದವಿನ್ಯಾಸಗಳು,ದವಿನ್ಯಾಸಗಳು
ಪರಮಾಣುಶಕ್ತಿಯಿಂದ,ರಮಾಣುಶಕ್ತಿಯಿಂದ
ಪಾಲುಮಾರು,ಾಲುಮಾರು
ಪೆರ್ಚುವಡೆ,ೆರ್ಚುವಡೆ
ಪೋರ್ನುಡಿ,ೋರ್ನುಡಿ
ಪೋಕಾಟಗಳು,ೋಕಾಟಗಳು
ಪೇರುರಿ,ೇರುರಿ
ಪಾಲಿಸದ,ಾಲಿಸದ
ಪಿತೃಗಾತುಕ,ಿತೃಗಾತುಕ
ಪೆಳಕು,ೆಳಕು
ಪಪ್ಪಳ,ಪ್ಪಳ
ಪೆಟ್ಟಾಗಿಸು,ೆಟ್ಟಾಗಿಸು
